arm,arm_set,minute,throughput_tok_s,goodput_tok_s,attainment_admitted_pct,attainment_offered_pct,attainment_all_arrivals_pct,in_flight_at_end_frac,cut_at_minute
FluidServe,four,50.7500,10513.2673,14963.3111,100.0000,65.0935,65.0935,0.0000,59.7500
FluidServe,four,51.2500,16965.3174,15144.7778,99.9364,62.1590,62.1590,0.0000,59.7500
FluidServe,four,51.7500,14508.5368,15074.3000,99.9361,61.4690,61.4690,0.0000,59.7500
FluidServe,four,52.2500,17384.3157,15282.9444,99.9353,61.3185,61.3185,0.0000,59.7500
FluidServe,four,52.7500,13362.5137,15274.9333,100.0000,62.0233,62.0233,0.0000,59.7500
FluidServe,four,53.2500,14780.6538,15164.3778,100.0000,62.7844,62.7844,0.0000,59.7500
FluidServe,four,53.7500,14467.5371,15734.9111,100.0000,65.7644,65.7644,0.0000,59.7500
FluidServe,four,54.2500,18021.3936,15834.0333,100.0000,68.4433,68.4433,0.0000,59.7500
FluidServe,four,54.7500,14472.3474,16135.5111,100.0000,70.3807,70.3807,0.0000,59.7500
FluidServe,four,55.2500,16244.8599,15834.3556,100.0000,71.4344,71.4344,0.0000,59.7500
FluidServe,four,55.7500,15235.5369,15391.5778,99.9403,73.5824,73.5824,0.0000,59.7500
FluidServe,four,56.2500,14401.3764,15041.5556,99.9367,77.0620,77.0620,0.0000,59.7500
FluidServe,four,56.7500,14843.0670,14813.8778,99.9326,81.6079,81.6079,0.0000,59.7500
FluidServe,four,57.2500,17674.7700,15761.7556,99.9341,82.2126,82.0790,0.0016,59.7500
FluidServe,four,57.7500,13832.3783,15579.8667,99.9339,78.2316,77.8292,0.0051,59.7500
FluidServe,four,58.2500,13197.5914,15668.6667,99.9345,73.6842,72.9097,0.0105,59.7500
FluidServe,four,58.7500,13142.4977,14198.6111,100.0000,73.4442,71.4883,0.0266,59.7500
FluidServe,four,59.2500,14292.9398,12463.2000,100.0000,77.3585,71.5265,0.0754,59.7500
FluidServe,four,59.7500,14511.2858,9577.7222,100.0000,84.4937,67.7092,0.1986,59.7500
