panel,arm,run,engine,role,n_windows,itl_ms,cdf
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,162.86506,0.85246
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,169.42958,0.86924
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,176.25869,0.88016
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,183.36306,0.88788
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,190.75379,0.89694
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,198.44240,0.90360
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,206.44092,0.90652
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,214.76184,0.90892
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,223.41813,0.91105
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,232.42334,0.91265
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,241.79151,0.91425
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,251.53728,0.91531
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,261.67587,0.91638
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,272.22311,0.91744
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,283.19547,0.91824
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,294.61009,0.91877
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,306.48479,0.91904
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,318.83812,0.91984
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,331.68937,0.92037
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,345.05861,0.92064
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,358.96671,0.92144
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,373.43541,0.92197
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,388.48728,0.92197
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,404.14585,0.92197
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,420.43555,0.92197
