arm,engine_rank,engine_port,series,minute,value,resident_chat,resident_deepresearch,resident_swe,budgets
llm-d,1,8003,tbt_ms,3.2978,21.682,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.3145,21.667,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.3312,21.729,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.3478,21.712,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.3645,21.752,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.3812,21.795,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.3978,21.769,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.4145,21.791,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.4312,21.764,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.4478,21.732,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.4645,21.742,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.4812,21.764,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.4978,21.734,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.5145,21.758,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.5312,21.829,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.5478,21.863,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.5645,21.886,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.5812,21.926,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.5978,21.942,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.6145,21.96,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.6312,21.966,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.6478,22.006,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.6645,22.015,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.6812,21.997,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.6978,21.99,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.7145,22.006,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.7312,21.967,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
