arm,engine_rank,engine_port,minute,tbt_ms,smoothing_s,run,source
FluidServe,1,8002,1.2139,27.7303,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2305,27.6954,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2472,27.6842,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2639,27.7286,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2805,27.723,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2972,27.7514,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3139,27.8106,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3305,27.8493,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3472,27.8874,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3639,27.8606,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3805,27.8215,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3972,27.8712,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4139,27.8536,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4305,27.875,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4472,27.8996,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4639,27.9098,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4805,27.9365,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4972,27.9463,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5139,27.9623,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5305,27.9909,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5472,28.0865,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5639,28.0529,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5805,28.0719,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5972,28.0902,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6139,28.1181,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6305,28.1246,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6472,28.1497,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6639,28.143,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6805,28.137,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6972,28.1256,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7139,28.1388,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7305,28.0951,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7472,28.1114,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7639,28.0814,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7805,28.0588,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7972,28.0277,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8139,28.0072,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8305,27.9565,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8472,27.9385,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8639,27.9341,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8805,27.9765,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8972,27.9337,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9139,27.9492,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9305,27.9178,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9472,27.8807,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9639,27.9369,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9805,27.9767,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9972,27.9511,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.0139,27.9013,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.0305,27.8765,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
